23.403	276.164
35.296	287.590
41.524	284.287
66.296	267.640
61.660	278.331
59.165	286.810
50.252	235.873
72.206	243.232
96.021	270.589
94.467	256.296
65.050	227.462
61.448	245.848
64.713	252.737
47.166	375.681
101.788	313.126
38.512	328.273
37.084	333.971
19.630	349.476
83.699	344.544
221.157	382.495
120.766	351.346
200.844	204.448
204.851	270.358
143.513	274.110
173.444	245.483
168.264	280.880
149.684	369.168
185.792	394.438
218.926	212.944
140.608	222.776
167.246	349.087
171.137	248.235
223.390	420.800
145.439	275.743
197.061	262.902
176.186	248.290
241.224	206.679
179.134	323.988
137.015	340.944
171.039	258.302
198.231	371.385
225.411	210.392
151.700	255.743
225.222	383.458
221.531	258.911
194.479	314.984
53.813	74.661
200.184	90.579
272.924	49.408
63.227	76.938
205.635	73.296
106.224	88.099
31.694	86.620
99.459	133.651
103.060	40.985
212.403	117.253
27.931	132.488
70.974	135.507
117.722	90.884
44.029	91.239
66.414	49.308
163.767	65.833
6.853	139.456
215.735	133.322
44.279	53.128
110.905	108.968
187.721	41.467
66.027	59.450
43.021	134.428
198.600	155.586
250.653	57.082
87.981	64.195
236.252	85.039
130.005	138.671
22.816	79.416
66.012	63.754
261.130	150.724
242.984	64.186
185.472	74.380
159.173	20.392
131.874	48.172
